# Discord Emoji Index
# Format: ID | Name | Animated | Filename

1032421429515391096 | unknown_1032421429515391096 | static | unknown_1032421429515391096_1032421429515391096.webp
1295526493400731670 | unknown_1295526493400731670 | static | unknown_1295526493400731670_1295526493400731670.webp
357325652065779713 | unknown_357325652065779713 | static | unknown_357325652065779713_357325652065779713.webp
479509240046682114 | unknown_479509240046682114 | static | unknown_479509240046682114_479509240046682114.webp
629806729466609664 | unknown_629806729466609664 | static | unknown_629806729466609664_629806729466609664.webp
633689293801390090 | unknown_633689293801390090 | static | unknown_633689293801390090_633689293801390090.webp
649965948115222529 | unknown_649965948115222529 | static | unknown_649965948115222529_649965948115222529.webp
686117211168964610 | unknown_686117211168964610 | static | unknown_686117211168964610_686117211168964610.webp
813201230721450025 | unknown_813201230721450025 | static | unknown_813201230721450025_813201230721450025.webp
989200838012567642 | unknown_989200838012567642 | static | unknown_989200838012567642_989200838012567642.webp
346716043613569045 | updating | static | updating_346716043613569045.webp
610982878679007262 | urdikinthepotatosalidatpublix | static | urdikinthepotatosalidatpublix_610982878679007262.webp
769140909987201035 | vibecoffee | static | vibecoffee_769140909987201035.webp
880715678070489108 | vibeglitch | static | vibeglitch_880715678070489108.webp
885402302243041340 | vibeglitch2 | static | vibeglitch2_885402302243041340.webp
340521575323271171 | wagu | static | wagu_340521575323271171.webp
942589468668461087 | waguboat | static | waguboat_942589468668461087.webp
942589468966273134 | waguburger | static | waguburger_942589468966273134.webp
964109654235963403 | wagucar | static | wagucar_964109654235963403.webp
942587788556116008 | wagupeek | static | wagupeek_942587788556116008.webp
942587841731510342 | waguspin | static | waguspin_942587841731510342.webp
733634629549948940 | waguspinaaa | static | waguspinaaa_733634629549948940.webp
942587918378229803 | waguspooky | static | waguspooky_942587918378229803.webp
942589468571992075 | wagutv | static | wagutv_942589468571992075.webp
942587918151720970 | waguw | static | waguw_942587918151720970.webp
942587918319489044 | waguwat | static | waguwat_942587918319489044.webp
942587918206267412 | waguwu | static | waguwu_942587918206267412.webp
942587918252376124 | waguxmas | static | waguxmas_942587918252376124.webp
1042177998943682711 | waitamin | static | waitamin_1042177998943682711.webp
1049431276454682654 | wariospin | static | wariospin_1049431276454682654.webp
965449609478549514 | wearyskull | static | wearyskull_965449609478549514.webp
1069755925491089479 | wesmart | static | wesmart_1069755925491089479.webp
980256807513645096 | whatavibe | static | whatavibe_980256807513645096.webp
591412292449468416 | whinyshit | static | whinyshit_591412292449468416.webp
624436076400082964 | wiiclap | static | wiiclap_624436076400082964.webp
1343335820072980572 | wiilogo | static | wiilogo_1343335820072980572.webp
1376345756826603520 | wiiSmart | static | wiiSmart_1376345756826603520.webp
367189749909159937 | wiiulogo | static | wiiulogo_367189749909159937.webp
1249901353564770435 | wobwhy | static | wobwhy_1249901353564770435.webp
1096007131746025493 | works | static | works_1096007131746025493.webp
690344332158697583 | wutcat | static | wutcat_690344332158697583.webp
970926611077685268 | xdlong | static | xdlong_970926611077685268.webp
258806830145208321 | xor | static | xor_258806830145208321.webp
1124169173816315984 | yamero | static | yamero_1124169173816315984.webp
1038938035733147648 | yeeclaw | static | yeeclaw_1038938035733147648.webp
591448135075889204 | yeet | static | yeet_591448135075889204.webp
625505971866959892 | yert | static | yert_625505971866959892.webp
621829674770759711 | yoshismug | static | yoshismug_621829674770759711.webp
